"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-08-13T04:57:00.000Z","19.40","19.65","18.80","19.00","-2.06","-1.95","38,175"
"2025-08-13T04:58:00.000Z","19.00","19.00","18.00","18.10","-4.74","-4.63","39,600"
"2025-08-13T04:59:00.000Z","18.10","18.40","17.80","18.35","1.38","1.49","35,100"
"2025-08-13T05:00:00.000Z","18.35","18.40","18.00","18.00","-1.91","-1.80","4,500"
"2025-08-13T05:01:00.000Z","18.00","18.40","18.00","18.40","2.22","2.33","16,575"
"2025-08-13T05:02:00.000Z","18.55","18.70","18.20","18.25","-0.82","-0.71","2,550"
"2025-08-13T05:03:00.000Z","18.25","18.60","18.20","18.55","1.64","1.75","4,950"
"2025-08-13T05:04:00.000Z","18.45","18.85","18.45","18.65","0.54","0.65","9,450"
"2025-08-13T05:05:00.000Z","18.65","18.70","18.40","18.50","-0.80","-0.69","7,650"
"2025-08-13T05:06:00.000Z","18.60","18.90","18.50","18.50","0","0.11","13,350"
"2025-08-13T05:07:00.000Z","18.50","18.75","18.20","18.75","1.35","1.46","3,300"
"2025-08-13T05:08:00.000Z","18.90","19.35","18.70","19.00","1.33","1.44","33,225"
"2025-08-13T05:09:00.000Z","19.00","19.35","19.00","19.30","1.58","1.69","13,575"
"2025-08-13T05:10:00.000Z","19.35","19.40","18.90","18.90","-2.07","-1.96","5,325"
"2025-08-13T05:11:00.000Z","18.90","19.70","18.90","19.70","4.23","4.34","35,250"
"2025-08-13T05:12:00.000Z","19.70","19.70","19.20","19.30","-2.03","-1.92","3,450"
"2025-08-13T05:13:00.000Z","19.30","19.50","19.15","19.45","0.78","0.89","9,675"
"2025-08-13T05:14:00.000Z","19.45","19.65","19.25","19.40","-0.26","-0.15","15,825"
"2025-08-13T05:15:00.000Z","19.45","20.65","19.45","20.30","4.64","4.75","18,000"
"2025-08-13T05:16:00.000Z","20.15","20.25","19.75","20.00","-1.48","-1.37","15,150"
"2025-08-13T05:17:00.000Z","20.20","20.65","20.05","20.20","1.00","1.11","15,075"
"2025-08-13T05:18:00.000Z","20.35","20.35","19.85","19.85","-1.73","-1.62","7,575"
"2025-08-13T05:19:00.000Z","19.85","20.20","19.50","19.70","-0.76","-0.65","15,975"
"2025-08-13T05:20:00.000Z","19.25","19.60","18.60","19.60","-0.51","-0.40","12,600"
"2025-08-13T05:21:00.000Z","19.50","19.50","18.95","19.10","-2.55","-2.44","9,900"
"2025-08-13T05:22:00.000Z","19.15","19.20","18.15","18.30","-4.19","-4.08","53,250"
"2025-08-13T05:23:00.000Z","18.35","18.40","18.10","18.25","-0.27","-0.16","19,050"
"2025-08-13T05:24:00.000Z","18.30","18.35","18.15","18.25","0","0.11","13,350"
"2025-08-13T05:25:00.000Z","18.25","18.45","18.05","18.05","-1.10","-0.99","33,900"
"2025-08-13T05:26:00.000Z","18.05","18.50","18.00","18.25","1.11","1.22","20,025"
"2025-08-13T05:27:00.000Z","18.40","18.60","18.30","18.40","0.82","0.93","9,075"
"2025-08-13T05:28:00.000Z","18.35","18.50","18.25","18.30","-0.54","-0.43","7,950"
"2025-08-13T05:29:00.000Z","18.15","18.20","17.85","18.00","-1.64","-1.53","17,850"
"2025-08-13T05:30:00.000Z","18.00","18.10","17.65","17.95","-0.28","-0.17","6,450"
"2025-08-13T05:31:00.000Z","17.95","17.95","17.55","17.55","-2.23","-2.12","11,100"
"2025-08-13T05:32:00.000Z","17.55","17.55","17.25","17.40","-0.85","-0.74","24,000"
"2025-08-13T05:33:00.000Z","17.45","17.90","17.45","17.80","2.30","2.41","9,675"
"2025-08-13T05:34:00.000Z","17.80","18.15","17.75","18.00","1.12","1.23","11,250"
"2025-08-13T05:35:00.000Z","17.90","18.05","17.80","17.90","-0.56","-0.45","6,225"
"2025-08-13T05:36:00.000Z","17.90","17.90","17.70","17.75","-0.84","-0.73","7,125"
"2025-08-13T05:37:00.000Z","17.70","17.95","17.65","17.95","1.13","1.24","7,050"
"2025-08-13T05:38:00.000Z","18.00","18.10","17.80","18.00","0.28","0.39","17,925"
"2025-08-13T05:39:00.000Z","18.00","18.00","17.85","17.90","-0.56","-0.45","9,675"
"2025-08-13T05:40:00.000Z","18.00","18.00","17.75","17.80","-0.56","-0.45","10,125"
"2025-08-13T05:41:00.000Z","17.80","18.30","17.80","18.20","2.25","2.36","23,475"
"2025-08-13T05:42:00.000Z","18.35","18.60","18.00","18.20","0","0.11","11,775"
"2025-08-13T05:43:00.000Z","17.90","17.90","17.40","17.40","-4.40","-4.29","6,750"
"2025-08-13T05:44:00.000Z","17.60","17.65","17.35","17.55","0.86","0.97","14,925"
"2025-08-13T05:45:00.000Z","17.55","17.65","17.20","17.40","-0.85","-0.74","10,350"
"2025-08-13T05:46:00.000Z","17.40","17.40","17.00","17.10","-1.72","-1.61","9,525"
"2025-08-13T05:47:00.000Z","17.10","17.35","17.10","17.20","0.58","0.69","2,475"
"2025-08-13T05:48:00.000Z","17.20","17.30","17.10","17.15","-0.29","-0.18","10,950"
"2025-08-13T05:49:00.000Z","17.15","17.20","17.00","17.00","-0.87","-0.76","6,225"
"2025-08-13T05:50:00.000Z","17.20","17.20","17.05","17.05","0.29","0.40","18,450"
"2025-08-13T05:51:00.000Z","17.25","17.50","17.20","17.35","1.76","1.87","6,000"
"2025-08-13T05:52:00.000Z","17.35","17.65","17.35","17.50","0.86","0.97","3,525"
"2025-08-13T05:53:00.000Z","17.50","17.75","17.50","17.55","0.29","0.40","7,350"
"2025-08-13T05:54:00.000Z","17.55","17.80","17.50","17.50","-0.28","-0.17","3,375"
"2025-08-13T05:55:00.000Z","17.50","17.90","17.30","17.85","2.00","2.11","7,050"
"2025-08-13T05:56:00.000Z","17.85","17.85","17.75","17.85","0","0.11","2,250"
"2025-08-13T05:57:00.000Z","17.85","18.10","17.85","18.00","0.84","0.95","5,400"
"2025-08-13T05:58:00.000Z","18.00","18.10","17.85","17.90","-0.56","-0.45","8,850"
"2025-08-13T05:59:00.000Z","17.90","18.25","17.85","18.15","1.40","1.51","9,375"
"2025-08-13T06:00:00.000Z","18.20","18.20","17.85","18.00","-0.83","-0.72","6,375"
"2025-08-13T06:01:00.000Z","18.00","18.20","17.90","18.15","0.83","0.94","2,325"
"2025-08-13T06:02:00.000Z","18.15","18.15","17.65","17.85","-1.65","-1.54","7,575"
"2025-08-13T06:03:00.000Z","17.85","18.15","17.85","18.15","1.68","1.79","12,150"
"2025-08-13T06:04:00.000Z","18.15","18.15","17.75","17.90","-1.38","-1.27","5,700"
"2025-08-13T06:05:00.000Z","17.90","18.00","17.75","17.75","-0.84","-0.73","5,475"
"2025-08-13T06:06:00.000Z","17.75","17.75","17.40","17.40","-1.97","-1.86","15,600"
"2025-08-13T06:07:00.000Z","17.35","17.85","17.35","17.70","1.72","1.83","5,325"
"2025-08-13T06:08:00.000Z","17.80","17.95","17.70","17.95","1.41","1.52","3,975"
"2025-08-13T06:09:00.000Z","17.95","18.30","17.95","18.25","1.67","1.78","8,550"
"2025-08-13T06:10:00.000Z","18.25","18.50","18.15","18.30","0.27","0.38","4,725"
"2025-08-13T06:11:00.000Z","18.30","18.30","18.05","18.10","-1.09","-0.98","8,100"
"2025-08-13T06:12:00.000Z","18.10","18.40","18.10","18.35","1.38","1.49","8,700"
"2025-08-13T06:13:00.000Z","18.25","18.75","18.25","18.60","1.36","1.47","6,525"
"2025-08-13T06:14:00.000Z","18.60","18.70","18.45","18.50","-0.54","-0.43","6,825"
"2025-08-13T06:15:00.000Z","18.60","18.80","18.45","18.80","1.62","1.73","9,150"
"2025-08-13T06:16:00.000Z","18.80","19.00","18.45","18.65","-0.80","-0.69","32,475"
"2025-08-13T06:17:00.000Z","18.60","18.85","18.20","18.20","-2.41","-2.30","3,750"
"2025-08-13T06:18:00.000Z","18.20","18.85","18.05","18.85","3.57","3.68","4,725"
"2025-08-13T06:19:00.000Z","18.75","18.75","18.45","18.50","-1.86","-1.75","4,050"
"2025-08-13T06:20:00.000Z","18.50","18.85","18.50","18.85","1.89","2.00","2,475"
"2025-08-13T06:21:00.000Z","18.95","19.05","18.70","18.70","-0.80","-0.69","11,250"
"2025-08-13T06:22:00.000Z","18.85","18.85","18.40","18.45","-1.34","-1.23","16,950"
"2025-08-13T06:23:00.000Z","18.60","18.60","17.80","18.10","-1.90","-1.79","11,775"
"2025-08-13T06:24:00.000Z","18.10","18.40","17.75","18.20","0.55","0.66","43,725"
"2025-08-13T06:25:00.000Z","18.20","18.50","18.15","18.50","1.65","1.76","4,725"
"2025-08-13T06:26:00.000Z","18.50","18.70","18.45","18.70","1.08","1.19","4,650"
"2025-08-13T06:27:00.000Z","18.70","19.25","18.60","19.00","1.60","1.71","34,500"
"2025-08-13T06:28:00.000Z","19.20","19.40","19.05","19.40","2.11","2.22","19,575"
"2025-08-13T06:29:00.000Z","19.50","19.55","19.35","19.50","0.52","0.63","17,625"
"2025-08-13T06:30:00.000Z","19.50","20.35","19.25","20.35","4.36","4.47","16,800"
"2025-08-13T06:31:00.000Z","20.25","20.40","19.50","19.55","-3.93","-3.82","24,300"
"2025-08-13T06:32:00.000Z","19.55","20.30","19.35","19.70","0.77","0.88","14,400"
"2025-08-13T06:33:00.000Z","19.75","20.10","19.25","20.00","1.52","1.63","23,100"
"2025-08-13T06:34:00.000Z","20.00","20.00","19.55","19.55","-2.25","-2.14","3,300"
"2025-08-13T06:35:00.000Z","19.55","19.70","18.75","18.75","-4.09","-3.98","15,900"
"2025-08-13T06:36:00.000Z","18.75","19.00","18.55","19.00","1.33","1.44","8,475"
"2025-08-13T06:37:00.000Z","19.00","19.10","18.65","18.75","-1.32","-1.21","20,775"
"2025-08-13T06:38:00.000Z","18.75","18.75","18.45","18.70","-0.27","-0.16","11,775"
"2025-08-13T06:39:00.000Z","18.70","18.95","18.55","18.90","1.07","1.18","5,325"
"2025-08-13T06:40:00.000Z","18.85","19.30","18.85","18.85","-0.26","-0.15","6,825"
"2025-08-13T06:41:00.000Z","18.85","18.90","18.50","18.60","-1.33","-1.22","3,825"
"2025-08-13T06:42:00.000Z","18.60","18.60","18.05","18.15","-2.42","-2.31","13,425"
"2025-08-13T06:43:00.000Z","18.15","18.25","18.05","18.05","-0.55","-0.44","4,725"
"2025-08-13T06:44:00.000Z","18.05","18.20","18.00","18.05","0","0.11","20,400"
"2025-08-13T06:45:00.000Z","18.00","18.15","17.80","18.15","0.55","0.66","3,300"
"2025-08-13T06:46:00.000Z","18.15","18.45","18.00","18.45","1.65","1.76","975"
"2025-08-13T06:47:00.000Z","18.50","18.75","18.40","18.65","1.08","1.19","5,850"
"2025-08-13T06:48:00.000Z","18.75","18.75","18.15","18.15","-2.68","-2.57","5,925"
"2025-08-13T06:49:00.000Z","18.15","18.50","18.15","18.45","1.65","1.76","3,450"
"2025-08-13T06:50:00.000Z","18.45","18.60","18.05","18.05","-2.17","-2.06","9,150"
"2025-08-13T06:51:00.000Z","18.10","18.10","17.20","17.20","-4.71","-4.60","31,800"
"2025-08-13T06:52:00.000Z","17.20","17.35","16.60","17.10","-0.58","-0.47","35,250"
"2025-08-13T06:53:00.000Z","17.10","17.55","17.10","17.40","1.75","1.86","6,825"
"2025-08-13T06:54:00.000Z","17.40","17.50","17.30","17.50","0.57","0.68","2,700"
"2025-08-13T06:55:00.000Z","17.50","17.50","17.30","17.40","-0.57","-0.46","6,075"
"2025-08-13T06:56:00.000Z","17.40","18.00","17.40","18.00","3.45","3.56","5,700"
"2025-08-13T06:57:00.000Z","17.95","17.95","17.60","17.60","-2.22","-2.11","6,375"
"2025-08-13T06:58:00.000Z","17.45","17.60","17.35","17.50","-0.57","-0.46","7,500"
"2025-08-13T06:59:00.000Z","17.30","17.50","17.25","17.30","-1.14","-1.03","7,125"
"2025-08-13T07:00:00.000Z","17.15","17.40","17.00","17.40","0.58","0.69","20,325"
"2025-08-13T07:01:00.000Z","17.30","17.30","16.85","17.00","-2.30","-2.19","17,850"
"2025-08-13T07:02:00.000Z","16.75","16.85","16.35","16.65","-2.06","-1.95","20,475"
"2025-08-13T07:03:00.000Z","16.65","16.65","16.15","16.15","-3.00","-2.89","14,250"
"2025-08-13T07:04:00.000Z","16.15","16.35","15.85","16.20","0.31","0.42","31,575"
"2025-08-13T07:05:00.000Z","16.25","16.70","16.15","16.70","3.09","3.20","20,175"
"2025-08-13T07:06:00.000Z","16.65","16.80","16.65","16.70","0","0.11","10,350"
"2025-08-13T07:07:00.000Z","16.70","16.90","16.70","16.90","1.20","1.31","20,475"
"2025-08-13T07:08:00.000Z","16.85","16.90","16.60","16.60","-1.78","-1.67","9,975"
"2025-08-13T07:09:00.000Z","16.60","16.75","16.40","16.50","-0.60","-0.49","16,500"
"2025-08-13T07:10:00.000Z","16.50","16.50","15.70","15.85","-3.94","-3.83","21,975"
"2025-08-13T07:11:00.000Z","15.95","16.10","15.75","15.95","0.63","0.74","26,250"
"2025-08-13T07:12:00.000Z","15.95","16.00","15.75","15.80","-0.94","-0.83","27,600"
"2025-08-13T07:13:00.000Z","15.85","16.15","15.80","16.15","2.22","2.33","20,250"
"2025-08-13T07:14:00.000Z","16.10","16.10","15.85","16.10","-0.31","-0.20","29,550"
"2025-08-13T07:15:00.000Z","16.05","16.20","15.95","16.05","-0.31","-0.20","22,275"
"2025-08-13T07:16:00.000Z","15.90","16.10","15.80","16.10","0.31","0.42","29,700"
"2025-08-13T07:17:00.000Z","16.00","16.15","15.95","16.00","-0.62","-0.51","17,700"
"2025-08-13T07:18:00.000Z","16.00","16.15","15.90","15.90","-0.62","-0.51","14,100"
"2025-08-13T07:19:00.000Z","16.00","16.05","15.80","16.05","0.94","1.05","42,000"
"2025-08-13T07:20:00.000Z","15.95","16.30","15.85","16.20","0.93","1.04","33,225"
"2025-08-13T07:21:00.000Z","16.20","16.25","15.90","15.95","-1.54","-1.43","34,650"
"2025-08-13T07:22:00.000Z","15.95","16.30","15.90","16.20","1.57","1.68","17,025"
"2025-08-13T07:23:00.000Z","16.20","16.40","16.05","16.25","0.31","0.42","29,325"
"2025-08-13T07:24:00.000Z","16.25","16.40","16.00","16.35","0.62","0.73","37,425"
"2025-08-13T07:25:00.000Z","16.30","16.65","16.25","16.60","1.53","1.64","28,950"
"2025-08-13T07:26:00.000Z","16.55","16.70","16.30","16.35","-1.51","-1.40","20,625"
"2025-08-13T07:27:00.000Z","16.35","16.35","15.95","16.00","-2.14","-2.03","30,225"
"2025-08-13T07:28:00.000Z","16.10","16.25","16.00","16.20","1.25","1.36","8,775"
"2025-08-13T07:29:00.000Z","16.20","16.25","16.05","16.05","-0.93","-0.82","9,450"
"2025-08-13T07:30:00.000Z","16.05","16.15","15.80","15.90","-0.93","-0.82","13,425"
"2025-08-13T07:31:00.000Z","15.90","16.15","15.85","16.15","1.57","1.68","13,125"
"2025-08-13T07:32:00.000Z","16.00","16.05","15.90","16.05","-0.62","-0.51","4,050"
"2025-08-13T07:33:00.000Z","16.05","16.05","15.85","16.00","-0.31","-0.20","10,275"
"2025-08-13T07:34:00.000Z","16.00","16.25","16.00","16.15","0.94","1.05","5,925"
"2025-08-13T07:35:00.000Z","16.15","16.20","15.60","15.75","-2.48","-2.37","40,575"
"2025-08-13T07:36:00.000Z","15.75","15.85","15.55","15.70","-0.32","-0.21","12,375"
"2025-08-13T07:37:00.000Z","15.80","15.80","15.60","15.60","-0.64","-0.53","10,425"
"2025-08-13T07:38:00.000Z","15.60","16.00","15.60","16.00","2.56","2.67","14,775"
"2025-08-13T07:39:00.000Z","15.90","16.25","15.90","15.95","-0.31","-0.20","22,275"
"2025-08-13T07:40:00.000Z","15.80","15.80","15.80","15.80","-0.94","-0.83","2,700"